file,dimensions,bytes
adjusted\banner-cover-1024x500.png,1024x500,514557
adjusted\banner-original-cover-1024x500.png,1024x500,506936
adjusted\logo-horizontal-white-bg-1200x480.png,1200x480,371584
adjusted\playstore-icon-512x512.png,512x512,206372
adjusted\telas-sistema-reference-1080x1920.png,1080x1920,1005122
feature-graphic\feature-graphic-1024x500.png,1024x500,46697
phone\01-entrada-organizador-convidado-1080x1920.png,1080x1920,39785
phone\02-agenda-compromissos-1080x1920.png,1080x1920,38800
phone\03-eventos-escalas-1080x1920.png,1080x1920,39207
phone\04-status-convocacoes-1080x1920.png,1080x1920,41554
phone\05-convite-qr-code-1080x1920.png,1080x1920,39819
phone\06-resposta-convidado-1080x1920.png,1080x1920,41417
phone\07-notificacoes-1080x1920.png,1080x1920,36511
preview-contact-sheet.png,1600x1200,145666
tablet-10\01-entrada-organizador-convidado-1600x2560.png,1600x2560,59076
tablet-10\02-agenda-compromissos-1600x2560.png,1600x2560,57721
tablet-10\03-eventos-escalas-1600x2560.png,1600x2560,56937
tablet-10\04-status-convocacoes-1600x2560.png,1600x2560,59461
tablet-10\05-convite-qr-code-1600x2560.png,1600x2560,60494
tablet-10\06-resposta-convidado-1600x2560.png,1600x2560,60502
tablet-10\07-notificacoes-1600x2560.png,1600x2560,53528
tablet-7\01-entrada-organizador-convidado-1200x1920.png,1200x1920,41583
tablet-7\02-agenda-compromissos-1200x1920.png,1200x1920,40678
tablet-7\03-eventos-escalas-1200x1920.png,1200x1920,41093
tablet-7\04-status-convocacoes-1200x1920.png,1200x1920,42940
tablet-7\05-convite-qr-code-1200x1920.png,1200x1920,43304
tablet-7\06-resposta-convidado-1200x1920.png,1200x1920,43141
tablet-7\07-notificacoes-1200x1920.png,1200x1920,38350
